Date,Bitcoin_price,Ethereum_price,Cardano_price,Ripple_price,S&P500,DJI,NASDAQ,Gold,Silver,Commodities,T_Bill,Oil,Twitter_volume,Google_trends,Bitcoin_price_change,Bitcoin_price_change_percent,Bitcoin +/-
2019-11-26,7141.069449,148.00688180000003,0.036495343,0.22038039199999998,3140.52002,28121.679689999997,8647.929688,137.740005,15.99,15.67,1.74,58.41,0,9.0,-70.79236000000037,-0.009816100457118448,decrease
2019-11-27,7523.480673,152.957277,0.038968418,0.225560758,3153.6298829999996,28164.0,8705.179688,137.009995,15.84,15.6,1.767,58.110001000000004,0,9.0,382.4112240000004,0.053550973944603175,increase
2019-11-28,7390.207469,150.4119794,0.038640823,0.22353646300000002,3153.6298829999996,28164.0,8705.179688,137.009995,15.84,15.6,1.767,58.110001000000004,0,9.0,-133.27320400000008,-0.017714301370944763,decrease
2019-11-29,7729.265939,153.6738095,0.041295065,0.229389452,3140.97998,28051.410160000003,8665.469727,137.860001,15.92,15.23,1.767,58.110001000000004,0,9.0,339.05846999999994,0.045879425093579895,increase
2019-11-30,7542.235609,151.655424,0.040364292,0.22582456899999998,3140.97998,28051.410160000003,8665.469727,137.860001,15.92,15.23,1.767,58.110001000000004,0,9.0,-187.0303299999996,-0.02419768338624373,decrease
2019-12-01,7381.963008,151.55290380000002,0.039332492999999996,0.22358726199999998,3140.97998,28051.410160000003,8665.469727,137.860001,15.92,15.23,1.767,58.110001000000004,0,9.0,-160.27260100000058,-0.021250012504084426,decrease
2019-12-02,7333.43293,149.4546547,0.038189338999999996,0.221076966,3113.8701170000004,27783.039060000003,8567.990234,137.78999299999998,15.8,15.26,1.8359999999999999,55.959998999999996,0,8.0,-48.530077999999776,-0.006574142670100924,decrease
2019-12-03,7315.367765000001,147.8113219,0.037884619,0.22043606,3093.199951,27502.81055,8520.639648,139.110001,16.049999,15.29,1.709,56.099998,0,8.0,-18.06516499999907,-0.0024633981346031675,decrease
2019-12-04,7213.733762000001,145.6033386,0.037165354,0.21523722899999997,3112.76001,27649.7793,8566.669922,138.919998,15.76,15.57,1.781,58.43,0,8.0,-101.63400300000012,-0.013893218531850549,decrease
2019-12-05,7398.78705,147.82700359999998,0.037729064,0.221949858,3117.429932,27677.789060000003,8570.700195,139.0,15.85,15.59,1.797,58.43,0,8.0,185.05328799999916,0.025652913471080563,increase
2019-12-06,7511.880583,148.6504041,0.038136142000000005,0.226294164,3145.909912,28015.06055,8656.530273,137.619995,15.48,15.71,1.8419999999999999,59.200001,0,8.0,113.0935330000002,0.015285415330341223,increase
2019-12-07,7532.123513,147.8712516,0.03863149,0.22792586399999998,3145.909912,28015.06055,8656.530273,137.619995,15.48,15.71,1.8419999999999999,59.200001,0,8.0,20.242929999999433,0.0026947885787496073,increase
2019-12-08,7550.2392,151.41067990000002,0.038763474,0.231169266,3145.909912,28015.06055,8656.530273,137.619995,15.48,15.71,1.8419999999999999,59.200001,0,8.0,18.115687000000435,0.002405123464682246,increase
2019-12-09,7333.0960430000005,147.1595339,0.03725466,0.222987021,3135.959961,27909.59961,8621.830078,137.580002,15.5,15.68,1.829,59.02,0,10.0,-217.14315699999952,-0.02875977187583667,decrease
2019-12-10,7239.762575,145.797319,0.036449556,0.222452862,3132.52002,27881.7207,8616.179688,137.970001,15.57,15.76,1.8330000000000002,59.240002000000004,0,10.0,-93.33346800000072,-0.012727702931027984,decrease
2019-12-11,7198.066677,143.0108044,0.036563567000000005,0.22058169,3141.6298829999996,27911.30078,8654.049805,138.919998,15.75,15.67,1.79,58.759997999999996,0,10.0,-41.69589799999994,-0.005759290801052308,decrease
2019-12-12,7190.272368999999,144.51010369999997,0.036419158,0.21830991800000002,3168.570068,28132.05078,8717.320313,138.429993,15.85,15.81,1.8969999999999998,59.18,0,10.0,-7.794308000000456,-0.0010828335370809405,decrease
2019-12-13,7238.874323,144.48558549999998,0.037106652000000004,0.219661852,3168.800049,28135.38086,8734.879883,139.050003,15.84,15.88,1.819,60.07,0,10.0,48.60195400000066,0.006759403747977899,increase
2019-12-14,7087.024984999999,142.05553930000002,0.036267258999999996,0.21659911199999998,3168.800049,28135.38086,8734.879883,139.050003,15.84,15.88,1.819,60.07,0,10.0,-151.8493380000009,-0.020976926967433585,decrease
2019-12-15,7112.731476000001,142.6819305,0.036427093,0.217738495,3168.800049,28135.38086,8734.879883,139.050003,15.84,15.88,1.819,60.07,0,10.0,25.706491000001733,0.0036272612350614075,increase
2019-12-16,6883.496394,132.3435787,0.034041374,0.20552900899999998,3191.449951,28235.89063,8814.230469,139.03999299999998,15.91,16.059998999999998,1.892,60.209998999999996,0,8.0,-229.23508200000106,-0.03222883961998191,decrease
2019-12-17,6584.028843,120.87981620000001,0.031400946,0.18139841,3192.52002,28267.160160000003,8823.360352,139.009995,15.88,16.15,1.889,60.939999,0,8.0,-299.46755099999973,-0.043505151141072784,decrease
2019-12-18,7424.0154,133.8778331,0.034560492000000005,0.198507789,3191.139893,28239.2793,8827.740234,139.020004,15.9,16.15,1.9240000000000002,60.93,0,8.0,839.9865570000002,0.12757941634673364,increase
2019-12-19,7147.568324,127.2736814,0.032891408,0.18840529,3205.3701170000004,28376.960939999997,8887.219727,139.380005,15.94,16.17,1.9080000000000001,61.220001,0,8.0,-276.4470760000004,-0.03723686726188635,decrease
2019-12-20,7139.933370999999,127.37527549999999,0.033322845,0.195031288,3221.219971,28455.089839999997,8924.959961,139.520004,16.040001,16.129998999999998,1.9169999999999998,60.439999,0,8.0,-7.634953000000678,-0.0010681888796171268,decrease
2019-12-21,7286.335081,129.8708364,0.03373776,0.193763722,3221.219971,28455.089839999997,8924.959961,139.520004,16.040001,16.129998999999998,1.9169999999999998,60.439999,0,8.0,146.401710000001,0.02050463252145107,increase
2019-12-22,7236.986205,128.91061729999998,0.033440842,0.193725449,3221.219971,28455.089839999997,8924.959961,139.520004,16.040001,16.129998999999998,1.9169999999999998,60.439999,0,8.0,-49.34887600000002,-0.00677279804612374,decrease
